2, 20, 41, 67, 83, 208, 701, 1818, 3811, 7170, 15822, 31893, 79370, 143380, 321784, 795638, -62
7, 10, 27, 56, 98, 253, 609, 1777, 2496, 9602, 15683, 28719, 73765, 148364, 371936, 792694, -82
3, 14, 26, 140, 142, 252, 909, 1433, 3375, 6381, 15687, 30880, 68244, 161147, 331032, 747117, -70
2, 9, 23, 40, 148, 301, 705, 1657, 3893, 7688, 13810, 41124, 65898, 172003, 365452, 745991, -66
3, 6, 26, 138, 167, 309, 865, 1151, 4422, 7466, 14642, 34410, 76676, 231879, 354741, 733412, -71
7, 20, 41, 44, 149, 307, 787, 1329, 2692, 6623, 17213, 30484, 89299, 148845, 354331, 720700, -53
2, 6, 17, 53, 140, 196, 648, 1684, 2946, 5943, 21575, 37073, 67137, 161213, 359738, 941525, -67
3, 10, 30, 44, 174, 594, 777, 1299, 2719, 5066, 17807, 34513, 76875, 156997, 327628, 852047, -64
3, 8, 30, 73, 128, 355, 512, 1541, 3585, 9339, 20748, 28323, 86891, 176273, 371119, 768711, -83
2, 24, 26, 88, 134, 273, 608, 1673, 4024, 6302, 14308, 35886, 86960, 179711, 406976, 708018, -73
3, 5, 27, 35, 128, 169, 764, 1595, 6927, 6956, 17424, 41226, 72970, 155617, 414693, 695908, -67
2, 25, 48, 62, 79, 202, 697, 1616, 4079, 6067, 15536, 33793, 72605, 177452, 315706, 742558, -69
4, 7, 12, 72, 130, 405, 548, 1049, 3878, 8551, 18653, 37508, 68789, 157407, 417921, 621394, -84
5, 8, 46, 113, 134, 322, 788, 1155, 2946, 6597, 16131, 50701, 82160, 172395, 398751, 759920, -54
4, 10, 22, 25, 160, 297, 559, 1229, 2937, 7185, 20141, 30330, 70306, 183948, 332600, 693948, -71
2, 5, 47, 52, 89, 508, 908, 1418, 2737, 6672, 13979, 34148, 76343, 163027, 383290, 732668, -62
3, 8, 12, 92, 128, 189, 819, 1664, 3536, 9448, 16007, 41200, 92883, 160844, 418947, 758141, -69
2, 10, 14, 33, 133, 343, 741, 1584, 3851, 7072, 13656, 36364, 82596, 149131, 375430, 651344, -63
2, 14, 19, 31, 82, 275, 493, 1490, 3248, 5972, 14854, 33096, 61518, 196605, 330428, 944802, -66
3, 7, 20, 36, 80, 435, 503, 1351, 3288, 7708, 16612, 34445, 68294, 159193, 397621, 686139, -66
